Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,World,Temperature|Global Mean,°C,,0.9162,0.9755,0,1.2405,0,1.508,0,1.7482,0,1.7451,0,1.6925,0,1.6505,0,1.6195,0,1.593,0,1.5676
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Emissions|CO2,Mt CO2/yr,,34018.8847,38149.3009,41259.1284,43970.3298,43521.0594,41558.2299,27777.0853,17560.2809,5990.6792,2782.688,-838.3361,-4621.8108,-5853.6224,-6761.645,-5101.9257,-4718.4834,-5134.286,-6346.5591,-6594.7268,-7142.0107
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Emissions|CO2|AFOLU,Mt CO2/yr,,4591.2038,5634.54,5800.5301,5621.6044,4800.2037,3363.3748,439.3118,-519.1546,-1699.3313,-2655.3755,-3325.1132,-3781.8054,-1850.9975,-3239.6227,-2039.7803,-2158.9589,-3001.4177,-4191.6136,-4047.0122,-3983.2092
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,29342.4283,32425.1167,35383.2521,38278.9936,38658.707,38135.0375,27311.5304,18058.2414,7674.0271,5422.0207,2471.5332,-853.5849,-4013.585,-3533.9559,-3075.2574,-2573.6646,-2147.8723,-2170.2233,-2562.7756,-3173.228
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Emissions|CO2|Other,Mt CO2/yr,,41.9073,42.488,28.5083,23.1474,18.593,17.4579,11.331,9.0488,6.7557,6.7151,6.3278,5.5935,4.4862,4.8582,5.3104,5.6986,6.0192,6.1047,5.9967,5.7247
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Primary Energy|Biomass,EJ/yr,,46.1461,46.1842,46.5175,47.6209,49.871,55.0572,68.2317,133.8409,229.9802,252.7246,272.6112,295.0965,330.9757,329.6862,335.0617,337.5781,339.6131,342.096,344.561,344.9547
AIM/CGE 2.0,ADVANCE_2030_WB2C,World,Temperature|Global Mean,°C,,0.9162,0.9758,0,1.2408,0,1.5046,0,1.7444,0,1.7876,0,1.7516,0,1.7069,0,1.6723,0,1.6535,0,1.6304
AIM/CGE 2.0,ADVANCE_INDC,World,Emissions|CO2,Mt CO2/yr,,34018.8847,38102.443,41394.195,44425.6961,43720.9025,42328.599,41116.0284,39411.1059,36950.7916,34208.6205,31526.0561,29088.8496,25346.5039,23121.5971,21092.9752,19179.8885,17427.6673,15870.3741,14454.5227,13143.612
AIM/CGE 2.0,ADVANCE_INDC,World,Emissions|CO2|AFOLU,Mt CO2/yr,,4591.2038,5551.7882,5759.1846,5724.8647,4498.287,3670.8155,3071.9087,2377.8607,1375.5301,514.9285,-92.4095,-614.112,-1992.0165,-2321.8064,-2460.7724,-2639.376,-2772.4116,-2867.9145,-2973.1653,-3030.9843
AIM/CGE 2.0,ADVANCE_INDC,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,29342.4283,32460.9388,35560.1373,38631.537,39160.0454,38597.6984,37989.5952,36982.2481,35524.9121,33643.4093,31568.6096,29654.2915,27297.7592,25404.3129,23516.1368,21782.8483,20165.5609,18705.3223,17396.0088,16144.3819
